rank,name,category,address
1,Y Combinator,both,"580 20th St, San Francisco, CA 94107"
2,Andreessen Horowitz,vc,"2865 Sand Hill Rd, Menlo Park, CA 94025"
3,Sequoia Capital,vc,"2800 Sand Hill Rd, Menlo Park, CA 94025"
4,Kleiner Perkins,vc,"2750 Sand Hill Rd, Menlo Park, CA 94025"
5,Accel,vc,"500 University Ave, Palo Alto, CA 94301"
6,Lightspeed Venture Partners,vc,"2200 Sand Hill Rd, Menlo Park, CA 94025"
7,Greylock Partners,vc,"2250 Sand Hill Rd, Menlo Park, CA 94025"
8,Khosla Ventures,vc,"2128 Sand Hill Rd, Menlo Park, CA 94025"
9,Menlo Ventures,vc,"2884 Sand Hill Rd, Menlo Park, CA 94025"
10,New Enterprise Associates,vc,"2855 Sand Hill Rd, Menlo Park, CA 94025"
11,General Catalyst,vc,"1050 Battery St, San Francisco, CA 94111"
12,Founders Fund,vc,"1 Letterman Dr, San Francisco, CA 94129"
13,First Round Capital,vc,"375 Alabama St, San Francisco, CA 94110"
14,Benchmark,vc,"140 New Montgomery St, San Francisco, CA 94105"
15,Index Ventures,vc,"139 Townsend St, San Francisco, CA 94107"
16,IVP,vc,"3000 Sand Hill Rd, Menlo Park, CA 94025"
17,Redpoint Ventures,vc,"3000 Sand Hill Rd, Menlo Park, CA 94025"
18,Mayfield,vc,"2484 Sand Hill Rd, Menlo Park, CA 94025"
19,DCVC,vc,"270 University Ave, Palo Alto, CA 94301"
20,CRV,vc,"2882 Sand Hill Rd, Menlo Park, CA 94025"
21,Battery Ventures,vc,"2884 Sand Hill Rd, Menlo Park, CA 94025"
22,Canaan,vc,"2765 Sand Hill Rd, Menlo Park, CA 94025"
23,Sierra Ventures,vc,"2884 Sand Hill Rd, Menlo Park, CA 94025"
24,Felicis,vc,"2460 Sand Hill Rd, Menlo Park, CA 94025"
25,Norwest Venture Partners,vc,"525 University Ave, Palo Alto, CA 94301"
26,Sutter Hill Ventures,vc,"755 Page Mill Rd, Palo Alto, CA 94304"
27,U.S. Venture Partners,vc,"2735 Sand Hill Rd, Menlo Park, CA 94025"
28,Trinity Ventures,vc,"2480 Sand Hill Rd, Menlo Park, CA 94025"
29,Threshold Ventures,vc,"400 Hamilton Ave, Palo Alto, CA 94301"
30,Scale Venture Partners,vc,"950 Tower Ln, Foster City, CA 94404"
31,Sapphire Ventures,vc,"801 W El Camino Real, Mountain View, CA 94040"
32,Meritech Capital,vc,"245 Lytton Ave, Palo Alto, CA 94301"
33,Ribbit Capital,vc,"364 University Ave, Palo Alto, CA 94301"
34,Uncork Capital,vc,"325 Sharon Park Dr, Menlo Park, CA 94025"
35,True Ventures,vc,"575 High St, Palo Alto, CA 94301"
36,Floodgate,vc,"820 Ramona St, Palo Alto, CA 94301"
37,Foundation Capital,vc,"550 High St, Palo Alto, CA 94301"
38,Costanoa Ventures,vc,"160 Forest Ave, Palo Alto, CA 94301"
39,Pear VC,both,"241 El Camino Real, Menlo Park, CA 94025"
40,Cowboy Ventures,vc,"119 University Ave, Palo Alto, CA 94301" 
41,Wing Venture Capital,vc,"480 Lytton Ave, Palo Alto, CA 94301"
42,Icon Ventures,vc,"505 Hamilton Ave, Palo Alto, CA 94301"
43,Playground Global,vc,"380 Portage Ave, Palo Alto, CA 94306"
44,S32,vc,"540 Bryant St, Palo Alto, CA 94301"
45,GSR Ventures,vc,"2200 Sand Hill Rd, Menlo Park, CA 94025"
46,DCM Ventures,vc,"2420 Sand Hill Rd, Menlo Park, CA 94025"
